name,id,emitsLight,breakable,dropItemID,harmful,damage
pebble,9,0,0,0,1,1
rock,10,0,1,9,1,2
tree1,12,0,1,46,1,1
tree2,13,0,1,46,1,1
tree3,14,0,1,46,1,1
tree4,15,0,1,46,1,1
meat,21,0,0,0,0,0
rawMeat,22,0,0,0,0,0
grain,23,0,0,24,0,0
wheat,24,0,0,0,0,0
bread,25,0,0,0,1,1
bush,26,0,1,27,0,0
berries,27,0,0,0,0,0
sword,29,0,0,0,1,6
axe,30,0,0,0,1,5
tamagotchi,32,1,1,0,0,0
alien,33,1,0,0,1,1
time1,34,1,0,0,0,0
time2,35,1,0,0,0,0
time3,36,1,0,0,0,0
time4,37,1,0,0,0,0
time5,38,1,0,0,0,0
time6,39,1,0,0,0,0
campfire,42,1,1,0,1,4
chest,43,0,1,0,0,0
torch,44,1,1,0,1,1
wood,46,0,0,0,1,3
guts,52,0,0,0,0,0
